localized_mode	z_center	localized_shape	localized_fake_rdm_weight	localized_representability	localized_rule_bucket	dominant_svd_mode	dominant_svd_overlap	dominant_svd_status	dominant_svd_representability	dominant_svd_fake_rdm_weight	dominant_svd_label	dominant_svd_channel
51	-0.7807859100541782	atom_local	1.2042976704723902	0.9972840369146578	strict_fake_ge_1e_m3_repr_ge_0p99	14	0.15119377210008636	kept	0.9999890183825805	1.791869479693403	b_px3	px
52	-0.7807859100535202	atom_local	1.2042976704695594	0.9972840369145232	strict_fake_ge_1e_m3_repr_ge_0p99	13	0.15119377207310214	kept	0.9999890183825835	1.791869479823533	b_py3	py
53	-0.63043892490745	atom_local	0.7850489857924945	0.9854853500892827	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	73	0.1391512730380416	kept	0.9987069854544246	0.3623657715222512	a_s9	s
54	-0.4878394240787802	atom_local	0.9198372314719541	0.9910928264277137	strict_fake_ge_1e_m3_repr_ge_0p99	75	0.11528222509015522	kept	0.9982109886370008	0.055367035356219604	b_s4	s
55	0.4878394240781514	atom_local	0.9198372314725247	0.9910928261697816	strict_fake_ge_1e_m3_repr_ge_0p99	75	0.11528204889148429	kept	0.9982109886370008	0.055367035356219604	b_s4	s
56	0.6304389249024567	atom_local	0.7850489857744024	0.9854853499258289	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	73	0.13915123321829231	kept	0.9987069854544246	0.3623657715222512	a_s9	s
57	0.7807859100542038	atom_local	1.2042976704722939	0.9972840369142619	strict_fake_ge_1e_m3_repr_ge_0p99	13	0.15945866646926896	kept	0.9999890183825835	1.791869479823533	b_py3	py
58	0.7807859100545954	atom_local	1.2042976704763064	0.9972840369148029	strict_fake_ge_1e_m3_repr_ge_0p99	14	0.15945866644781764	kept	0.9999890183825805	1.791869479693403	b_px3	px
59	0.8665176261605324	atom_local	0.8437804378622631	0.9969269102197869	strict_fake_ge_1e_m3_repr_ge_0p99	93	0.15182517348641134	kept	0.9937024873600776	0.1504009856375484	b_py7	py
60	0.8665176261609926	atom_local	0.8437804378637213	0.9969269102201477	strict_fake_ge_1e_m3_repr_ge_0p99	92	0.1518251734804707	kept	0.9937024873601702	0.150400985643231	b_px7	px
61	0.9775953963304058	atom_local	0.7216522046846978	0.9816478641295683	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	70	0.1460545915337442	kept	0.9989483629519829	0.36257536065315865	a_s4	s
62	1.1175453938770978	bond_axis_midbond	1.0356445247821724	0.9921514097882053	strict_fake_ge_1e_m3_repr_ge_0p99	20	0.16743565248684467	kept	0.9999639941683557	0.6860384174889873	a_pz7	pz
63	1.2083239646683248	atom_local	1.9626623920977413	0.9885937668135198	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	75	0.19435144360972084	kept	0.9982109886370008	0.055367035356219604	b_s4	s
64	1.2438228097629946	atom_local	1.4465492605946542	0.996136461791162	strict_fake_ge_1e_m3_repr_ge_0p99	77	0.18919832030961908	kept	0.997809432217078	0.1797351643828853	b_py7	py
65	1.2438228097649606	atom_local	1.4465492605993764	0.9961364617925761	strict_fake_ge_1e_m3_repr_ge_0p99	76	0.1891983202927677	kept	0.9978094322171308	0.17973516435818598	b_px7	px
66	1.341660329102078	atom_local	0.814672354145813	0.9937520684429686	strict_fake_ge_1e_m3_repr_ge_0p99	72	0.10813535523105733	kept	0.9987365567109575	0.7383690567867143	b_py7	py
67	1.341660329107557	atom_local	0.8146723541649454	0.9937520684452694	strict_fake_ge_1e_m3_repr_ge_0p99	71	0.10813535518865197	kept	0.998736556710982	0.7383690568415551	b_px7	px
68	1.586112637089914	atom_local	0.7616625310645366	0.9989516924086721	strict_fake_ge_1e_m3_repr_ge_0p99	27	0.19086710610364932	kept	0.9999522614527221	0.6100706310481836	b_dxx2	dxx
69	1.5861126370899237	atom_local	0.8904466398546802	0.9991144951412758	strict_fake_ge_1e_m3_repr_ge_0p99	29	0.1604672474188317	kept	0.9999316474173153	0.8824481957402179	a_dxy2	dxy
70	1.5873828394618015	atom_local	0.6760877465470145	0.9993785914351249	strict_fake_ge_1e_m3_repr_ge_0p99	46	0.18139395901572297	kept	0.9998146133372381	0.78545850166632	b_dyy3	dyy
71	1.5873828394618192	atom_local	0.9826469126932076	0.9996060577331705	strict_fake_ge_1e_m3_repr_ge_0p99	45	0.16597766435305006	kept	0.9998267433486224	1.1714262723266182	a_dxy3	dxy
72	1.5876695286549782	atom_local	0.26743961000956906	0.9931863935490527	strict_fake_ge_1e_m3_repr_ge_0p99	15	0.228867468957789	kept	0.9999888501519308	1.3681200820391055	b_s3	s
73	1.5893942609834912	atom_local	0.015309194833875061	0.9480206195947395	fake_high_ambiguous_or_poor	104	0.1968036160523337	dropped	0.9251530786939351	0.014946800013860336	b_s6	s
74	1.6009375999099538	atom_local	0.8233614762109822	0.9920505317295328	strict_fake_ge_1e_m3_repr_ge_0p99	44	0.12960868403130785	kept	0.9998278998338949	0.7343285990024118	b_s4	s
75	1.6338218222636167	atom_local	0.6915447999257099	0.9979286818725873	strict_fake_ge_1e_m3_repr_ge_0p99	91	0.16337046112075848	kept	0.9945524730875983	0.23177617897307273	b_dyy5	dyy
76	1.6338218222636316	atom_local	0.832928546345066	0.9984069028523331	strict_fake_ge_1e_m3_repr_ge_0p99	82	0.17705749820110137	kept	0.9975072104110831	0.42344488317230367	a_dxy5	dxy
77	1.690218558490563	atom_local	0.05093478028102896	0.8612732034303593	fake_high_ambiguous_or_poor	108	0.26757719380269485	dropped	0.7732092411339045	0.0021607095854798805	b_s4	s
